txn_id,user_id,txn_date,amount,ingestion_date
1,427,2024-01-08,2353,2024-01-08
2,225,2024-01-15,939,2024-01-15
3,446,2024-02-17,812,2024-02-27
4,402,2024-01-28,344,2024-01-28
5,147,2024-01-14,4239,2024-01-15
6,408,2024-01-02,1728,2024-01-12
7,466,2024-02-11,3536,2024-02-21
8,212,2024-01-29,2378,2024-02-13
9,103,2024-02-18,3562,2024-02-18
10,274,2024-01-18,1863,2024-01-18
11,490,2024-01-22,859,2024-01-22
12,294,2024-01-07,2917,2024-01-10
13,409,2024-01-17,3863,2024-01-17
14,374,2024-01-08,745,2024-01-13
15,382,2024-01-19,3062,2024-02-03
16,395,2024-01-13,475,2024-01-13
17,438,2024-01-15,753,2024-01-17
18,219,2024-02-25,3213,2024-02-25
19,242,2024-01-30,1432,2024-02-02
20,289,2024-01-23,2287,2024-01-24
21,459,2024-02-29,1501,2024-02-29
22,373,2024-02-16,1438,2024-02-17
23,336,2024-01-25,4662,2024-01-27
24,212,2024-02-13,558,2024-02-16
25,217,2024-02-22,2684,2024-02-22
26,305,2024-01-18,1828,2024-01-18
27,390,2024-02-26,1841,2024-02-29
28,435,2024-02-01,3858,2024-02-06
29,173,2024-01-17,2120,2024-01-17
30,481,2024-02-05,2252,2024-02-15
31,482,2024-02-07,4880,2024-02-12
32,304,2024-01-24,1233,2024-01-25
33,360,2024-02-01,485,2024-02-01
34,156,2024-01-10,3558,2024-01-10
35,405,2024-01-05,3226,2024-01-10
36,405,2024-01-30,2159,2024-02-09
37,383,2024-02-25,1038,2024-02-25
38,449,2024-02-26,2285,2024-03-07
39,493,2024-02-11,1013,2024-02-14
40,250,2024-01-28,3816,2024-01-28
41,101,2024-02-16,4200,2024-02-18
42,490,2024-01-12,971,2024-01-22
43,420,2024-01-20,1729,2024-01-30
44,178,2024-01-24,4518,2024-01-24
45,498,2024-02-29,104,2024-03-10
46,406,2024-01-21,259,2024-01-28
47,157,2024-02-29,2619,2024-03-03
48,222,2024-01-04,4747,2024-01-05
49,140,2024-01-06,666,2024-01-13
50,489,2024-02-04,1151,2024-02-04
51,437,2024-01-31,1452,2024-02-10
52,235,2024-02-03,3566,2024-02-18
53,208,2024-02-29,1747,2024-03-10
54,465,2024-01-20,3159,2024-01-25
55,324,2024-02-27,3798,2024-03-08
56,161,2024-01-16,624,2024-01-17
57,273,2024-01-02,4637,2024-01-17
58,217,2024-02-07,158,2024-02-08
