store_id,total_revenue
STORE01,6218414.460000001
STORE13,5947923.250000003
STORE09,5873963.3599999985
STORE17,5863260.78
STORE04,5727803.660000002
STORE20,5720021.469999995
STORE06,5688714.75
STORE16,5646370.039999995
STORE14,5610549.749999996
STORE07,5481854.479999998
STORE19,5474022.99
STORE12,5442089.569999996
STORE08,5359301.339999995
STORE05,5344084.609999998
STORE11,5309063.780000001
STORE18,5258705.299999997
STORE10,5203200.8199999975
STORE03,5050459.909999997
STORE02,5039895.309999998
STORE15,4965616.619999999
