item_id,order_id,product_id,quantity,unit_price
1,1,283,5,3016.18
2,1,246,2,3525.08
3,2,108,2,4247.77
4,2,156,4,1668.01
5,2,130,2,2865.93
6,2,215,1,4810.41
7,2,3,1,1522.86
8,3,36,5,4927.12
9,3,299,3,2934.44
10,3,121,3,1251.8
11,3,138,5,2130.43
12,3,96,1,3005.77
13,4,167,5,4749.53
14,4,82,1,3709.6
15,4,292,5,755.69
16,4,1,2,1481.64
17,4,141,5,3675.4
18,5,229,3,2059.33
19,5,11,1,3827.99
20,5,148,2,2487.42
21,6,227,1,2621.6
22,6,77,5,2109.87
23,6,44,3,1430.35
24,6,291,2,2231.01
25,6,248,5,3982.46
26,7,300,4,4157.68
27,8,187,5,3860.16
28,8,175,3,1767.78
29,8,31,3,482.94
30,9,16,5,1475.93
31,9,263,1,154.78
32,9,246,3,3756.49
33,9,38,1,3256.31
34,10,89,5,880.16
35,10,160,5,3972.29
36,10,245,3,3520.5
37,10,105,4,3258.87
38,10,142,1,3073.4
39,11,71,2,2776.77
40,12,223,2,2394.14
41,12,13,3,3966.15
42,13,46,2,1709.67
43,14,148,4,4805.16
44,14,107,4,1823.11
45,14,75,3,3910.05
46,14,140,5,3134.74
47,15,84,4,3055.37
48,15,60,2,2108.85
49,15,82,3,2346.06
50,15,230,4,4707.84
51,16,213,1,4989.35
52,16,104,3,3687.62
53,17,267,2,1688.31
54,17,143,3,2032.67
55,17,10,5,3811.59
56,17,161,2,4982.28
57,17,53,5,601.39
58,18,164,5,3206.7
59,18,255,3,2654.54
60,19,63,2,2612.03
61,19,110,4,701.05
62,20,50,4,845.45
63,20,30,3,1363.27
64,20,207,5,625.37
65,20,101,2,4438.61
66,20,185,2,3512.77
67,21,207,5,3985.89
68,22,1,1,4710.53
69,22,147,3,4615.07
70,22,279,1,3670.18
71,22,92,4,4185.49
72,22,83,5,1714.01
73,23,208,2,2660.57
74,23,67,1,2832.83
75,23,149,3,3297.17
76,24,73,5,3585.66
77,24,26,3,3493.94
78,24,31,4,3499.45
79,25,225,1,745.58
80,25,208,1,747.15
81,26,208,4,473.23
82,26,206,4,1104.34
83,26,284,3,4372.78
84,26,85,2,4824.1
85,26,97,1,4099.57
86,27,29,4,2542.59
87,28,71,3,4736.16
88,28,26,4,2837.83
89,29,66,2,4107.55
90,29,132,3,4381.91
91,30,105,1,321.47
92,30,249,2,3959.01
93,31,127,4,3174.85
94,31,180,3,1534.89
95,31,38,5,4345.81
96,31,178,2,764.66
97,32,33,1,1176.22
98,33,8,2,2597.5
99,33,187,5,1140.05
100,33,232,3,2118.61
101,34,74,2,3106.64
102,34,196,4,3097.77
103,35,157,5,3372.91
104,35,34,3,4756.89
105,35,9,4,3854.88
106,35,295,5,4085.53
107,35,89,5,2926.25
108,36,130,3,241.04
109,36,123,2,1821.78
110,36,151,4,4290.71
111,36,125,5,1381.11
112,37,153,3,793.65
113,37,77,1,1107.62
114,38,94,4,422.13
115,38,299,4,3432.9
116,39,262,2,3630.79
117,40,40,4,1037.78
118,40,104,1,3900.09
119,41,254,2,3830.51
120,41,16,2,2576.1
121,41,100,2,1880.15
122,41,143,5,1676.35
123,42,152,5,2657.68
124,42,242,4,2457.68
125,43,248,5,2885.31
126,44,263,1,4234.0
127,44,275,1,4394.98
128,44,235,5,3168.47
129,45,99,2,4288.89
130,46,286,1,1659.76
131,46,228,1,852.12
132,46,173,3,2796.54
133,46,195,1,4452.19
134,46,149,2,1503.82
135,47,59,5,600.27
136,47,225,4,997.7
137,47,289,2,2430.1
138,47,203,5,3939.33
